timestamp,true_price,estimated_price,moneyness,time_to_maturity
2021.03.017.0,58.000008,112.62461,-0.9086535,1697.0
2021.012.024.0,416.0,414.0871,-0.4650004,0.0
2021.09.07.0,3.5277863,7.5581665,2.6394475,34.0
2021.07.06.0,2.0,18.72226,2.1599212,0.0
2021.05.03.0,240.41023,232.72496,1.2161237,2.0
2021.05.024.0,239.4529,161.19063,-0.62552476,0.0
2021.09.07.0,76.0,82.59339,-1.4694412,31.0
2021.012.024.0,34.904465,39.53453,1.795931,1.0
2021.01.022.0,190.73468,181.09964,1.1746718,135.0
2021.04.09.0,169.0351,190.51567,1.2139677,0.0
2021.09.030.0,207.0,202.71854,0.83411044,0.0
2021.010.022.0,279.0,247.01459,0.017197609,0.0
2021.05.03.0,550.0,625.9696,-0.08636284,3.0
2021.09.030.0,7.5,9.394318,-2.0678303,878.0
2021.05.024.0,107.51041,67.65677,-0.8476844,0.0
2021.07.027.0,405.27914,379.11758,0.17722738,0.0
2021.012.024.0,258.0,301.5725,0.6011579,0.0
2021.09.07.0,158.25613,150.36102,0.84086376,67.0
2021.01.022.0,245.0,176.25569,0.64049447,0.0
2021.06.015.0,110.773544,174.08084,0.65846705,518.0
2021.08.017.0,15.280685,17.231339,2.4481428,517.0
2021.08.017.0,18.5,19.602768,-1.8964121,0.0
2021.05.03.0,640.0,757.09924,-0.1607492,0.0
2021.09.07.0,100.0,132.654,-1.2521496,12.999985
2021.011.012.0,126.0,148.16196,-0.8958025,0.0
2021.07.027.0,35.560883,37.85559,1.8786545,6.0
2021.06.015.0,75.53988,113.7907,0.8948646,552.0
2021.05.03.0,190.51556,110.0235,0.9472935,267.0
2021.010.022.0,487.38586,466.52557,0.67804027,2.0
2021.01.022.0,188.0,258.14764,-0.28556585,4918.0
2021.07.027.0,21.5,31.25296,-1.6315277,1.0
2021.012.03.0,11.0,7.286957,-2.3444993,0.0
2021.02.023.0,139.0,168.39618,-0.8493402,3.0
2021.011.012.0,0.3999939,0.8028259,-2.6187117,39.0
2021.09.030.0,21.818634,17.334381,1.6938702,129.0
2021.09.07.0,2.108368,13.689468,3.3275986,22.0
2021.03.017.0,5.0,7.990509,-1.9884226,43.0
2021.09.030.0,9.5,19.485413,-1.9615347,1454.0
2021.01.022.0,72.334366,75.911354,1.7665808,5.0
2021.07.06.0,43.860764,45.12468,1.6533967,7.0
2021.05.024.0,2.199997,5.901001,-2.5142643,0.0
2021.010.022.0,201.45573,162.14894,0.70578074,74.0
2021.02.023.0,381.15292,341.49515,0.65055823,2.0
2021.05.024.0,568.4154,523.58307,-0.29483294,0.0
2021.07.06.0,12.239227,14.947922,2.126556,33.0
2021.012.024.0,493.0,477.7657,0.0441252,0.0
2021.012.03.0,12.707016,24.085358,1.7205448,704.0
2021.03.017.0,865.544,726.9367,0.1177727,0.0
2021.08.017.0,354.87885,312.90088,0.9103947,1.0
2021.06.015.0,337.0,333.9596,-0.6923735,0.0
2021.02.023.0,11.09346,12.213776,2.311194,17.0
2021.05.024.0,12.5,8.151657,-2.2619789,0.0
2021.07.06.0,5.100006,9.641922,-2.0155625,11.0
2021.012.03.0,14.5,10.114441,-2.1073172,1.0
2021.06.015.0,37.994675,62.199768,1.3625538,104.0
2021.03.017.0,115.585884,53.77977,0.8921136,728.0
2021.02.023.0,6.355728,14.343201,2.790941,4.0
